gene symbol;0-9;0-18;0-23;9-26;18-70;23-50;26-50;50+;70+
TTN;1;1;1;4;5;5;5;3;3
AHNAK2;2;3;3;5;21;21;21;21;21
TP53;3;2;2;1;1;2;2;1;1
AHNAK;4;5;4;13;21;21;21;21;21
H3F3A;5;4;5;6;21;21;21;21;21
MUC17;6;7;8;14;21;21;21;21;11
MUC16;7;8;9;12;11;14;14;7;9
FLG2;8;6;7;7;21;21;21;21;21
PHLPP1;9;9;14;21;21;21;21;21;21
OBSCN;10;13;10;21;21;21;21;21;21
KMT2D;11;12;13;16;15;13;13;21;21
SUSD2;12;18;21;21;21;21;21;21;21
SOX1;13;17;19;21;21;21;21;21;21
NF1;14;14;11;8;9;10;10;6;6
ATRX;15;11;6;2;3;3;3;14;19
KMT2C;16;18;17;18;21;21;21;21;21
RAMP2;17;10;12;11;21;21;21;21;21
SVIL;18;20;21;21;21;21;21;21;21
MKI67;19;21;21;21;21;21;21;21;21
ISM2;20;21;21;21;21;21;21;21;21
BRAF;21;15;15;10;21;21;21;21;21
TEX13D;21;19;20;17;21;21;21;21;21
IDH1;21;21;16;3;2;1;1;5;14
ERBB2;21;21;21;9;21;21;21;21;21
CIC;21;21;21;15;8;4;4;12;17
CTNNB1;21;21;21;19;21;21;21;21;21
PIK3CA;21;21;21;20;10;9;8;8;8
PTEN;21;21;21;21;21;4;7;2;2
TERT;21;21;21;21;6;6;6;11;4
EGFR;;;;;7;12;12;4;5
NOTCH1;;;;;12;7;9;;
PIK3R1;;;;;13;;;9;7
FUBP1;;;;;14;11;11;;
FLG;;;;;;;;10;15
RB1;;;;;;;;15;10
RYR2;21;21;21;21;21;21;21;13;13
LRP1;;;;;;;;;
SMARCA4;;;;;;15;15;;
ARID1A;;;;;;;;;
BCOR;;;;;;;;;
NOTCH2;;;;;;;;;
ATM;;;;;;;;;
PCLO;;;;;;;;;12
SPTA1;;;;;;;;;
LRP2;;;;;;;;;
PKHD1;;;;;;;;;
USH2A;;;;;;;;;
PDGFRA;;;;;;;;;
HMCN1;;;;;;;;;
